batas_admin_prov,MapServer,ahm,failed
Area_Nowcasting,MapServer,BMKG,failed
cap_data_edit,MapServer,BMKG,failed
Print_Infografis_Nowcasting,GPServer,BMKG,failed
Revisi5_BMKG,MapServer,BMKG,failed
basemap_buma,MapServer,BUMA,failed
ExportWebMap,GPServer,BUMA,failed
FMS_line_test_MIL,MapServer,BUMA,failed
raster_pit,MapServer,BUMA,failed
titik_test_buma,MapServer,BUMA,failed
shipment_details,MapServer,Dion,failed
shipment_history,MapServer,Dion,failed
shipment_report_2,MapServer,Dion,failed
gdvr_rekap,MapServer,GDVRun70,failed
Submitted_data,MapServer,GDVRun70,failed
0c135324,WorkspaceServer,Hosted,failed
1772e6ff,WorkspaceServer,Hosted,failed
2520658b,WorkspaceServer,Hosted,failed
2eeb85fb,WorkspaceServer,Hosted,failed
2fb46723,WorkspaceServer,Hosted,failed
410_KAB_KOTA_34_PROVINSI_APRIL,FeatureServer,Hosted,failed
436f8c63,RelationalCatalogServer,Hosted,failed
482087ca,WorkspaceServer,Hosted,failed
4b7c2322,RelationalCatalogServer,Hosted,failed
4d6fa4bf,WorkspaceServer,Hosted,failed
547031de,WorkspaceServer,Hosted,failed
7fa5dffd,WorkspaceServer,Hosted,failed
9ae8f0c8,WorkspaceServer,Hosted,failed
9be77dcb,WorkspaceServer,Hosted,failed
ADO_produksi,FeatureServer,Hosted,failed
Aggregation_of_faspend_by_hexagon_bins,FeatureServer,Hosted,failed
AMDAL,FeatureServer,Hosted,failed
assignments_aaaa5d88183941e7a1084a3ae8e4f7da,FeatureServer,Hosted,failed
Batas_Ekologis,FeatureServer,Hosted,failed
Batas_Sosial,FeatureServer,Hosted,failed
Batas_Wilayah_Studi,FeatureServer,Hosted,failed
BKPH_SUBANG,MapServer,Hosted,failed
BKPH_SUBANG,VectorTileServer,Hosted,failed
BKPH_SUBANG_TEST,VectorTileServer,Hosted,failed
BKPH_SUBANG_VectorTile,VectorTileServer,Hosted,failed
bmkg_earthquake,FeatureServer,Hosted,failed
bmkg_earthquake_realtime,FeatureServer,Hosted,failed
bmkg_weather_daily_forecast,FeatureServer,Hosted,failed
bmkg_weather_forecast,FeatureServer,Hosted,failed
bmkg_weather_realtime,FeatureServer,Hosted,failed
BUMAFeaturePointTest,FeatureServer,Hosted,failed
c213fcbc,WorkspaceServer,Hosted,failed
c574d0fd,WorkspaceServer,Hosted,failed
coastline_dumai_Buffer,FeatureServer,Hosted,failed
count_perkabupaten,FeatureServer,Hosted,failed
data1,FeatureServer,Hosted,failed
dispatchers_aaaa5d88183941e7a1084a3ae8e4f7da,FeatureServer,Hosted,failed
faspend,FeatureServer,Hosted,failed
faspend1,FeatureServer,Hosted,failed
FMS_line_test,FeatureServer,Hosted,failed
geotagged,FeatureServer,Hosted,failed
home_to_office,FeatureServer,Hosted,failed
icon_cust,FeatureServer,Hosted,failed
kantor,FeatureServer,Hosted,failed
Kuta_Selatan,FeatureServer,Hosted,failed
location_aaaa5d88183941e7a1084a3ae8e4f7da,FeatureServer,Hosted,failed
Lokasi_Rumah,FeatureServer,Hosted,failed
NOAA_StormEvents_2017,FeatureServer,Hosted,failed
POTENSI_SLEMAN,FeatureServer,Hosted,failed
POTENSI_SLEMAN_TEEEEEEEST,FeatureServer,Hosted,failed
Public_Outages_and_Alerts,FeatureServer,Hosted,failed
pvmbg_pergerakantanah,FeatureServer,Hosted,failed
